firstname,id,motivation,share,surname,year,gender,prize
Axel Hugo Theodor,359,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""",1,Theorell,1955,male,physiology or medicine
John Franklin,356,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",3,Enders,1954,male,physiology or medicine
Thomas Huckle,357,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",3,Weller,1954,male,physiology or medicine
Frederick Chapman,358,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",3,Robbins,1954,male,physiology or medicine
Hans Adolf,354,"""for his discovery of the citric acid cycle""",2,Krebs,1953,male,physiology or medicine
Fritz Albert,355,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",2,Lipmann,1953,male,physiology or medicine
Selman Abraham,353,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis""",1,Waksman,1952,male,physiology or medicine
Max,352,"""for his discoveries concerning yellow fever and how to combat it""",1,Theiler,1951,male,physiology or medicine
Edward Calvin,349,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",3,Kendall,1950,male,physiology or medicine
Tadeus,350,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",3,Reichstein,1950,male,physiology or medicine
Philip Showalter,351,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",3,Hench,1950,male,physiology or medicine
Walter Rudolf,347,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs""",2,Hess,1949,male,physiology or medicine
Antonio Caetano de Abreu Freire Egas,348,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",2,Moniz,1949,male,physiology or medicine
Paul Hermann,346,"""for his discovery of the high efficiency of DDT as a contact poison against several arthropods""",1,Müller,1948,male,physiology or medicine
Carl Ferdinand,343,"""for their discovery of the course of the catalytic conversion of glycogen""",4,Cori,1947,male,physiology or medicine
Gerty Theresa,344,"""for their discovery of the course of the catalytic conversion of glycogen""",4,"Cori, née Radnitz",1947,female,physiology or medicine
Bernardo Alberto,345,"""for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar""",2,Houssay,1947,male,physiology or medicine
Hermann Joseph,342,"""for the discovery of the production of mutations by means of X-ray irradiation""",1,Muller,1946,male,physiology or medicine
Sir Alexander,339,"""for the discovery of penicillin and its curative effect in various infectious diseases""",3,Fleming,1945,male,physiology or medicine
Ernst Boris,340,"""for the discovery of penicillin and its curative effect in various infectious diseases""",3,Chain,1945,male,physiology or medicine
Sir Howard Walter,341,"""for the discovery of penicillin and its curative effect in various infectious diseases""",3,Florey,1945,male,physiology or medicine
Joseph,337,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",2,Erlanger,1944,male,physiology or medicine
Herbert Spencer,338,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",2,Gasser,1944,male,physiology or medicine
Henrik Carl Peter,335,"""for his discovery of vitamin K""",2,Dam,1943,male,physiology or medicine
Edward Adelbert,336,"""for his discovery of the chemical nature of vitamin K""",2,Doisy,1943,male,physiology or medicine
Gerhard,334,"""for the discovery of the antibacterial effects of prontosil""",1,Domagk,1939,male,physiology or medicine
Corneille Jean François,333,"""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration""",1,Heymans,1938,male,physiology or medicine
Albert,332,"""for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid""",1,von Szent-Györgyi Nagyrápolt,1937,male,physiology or medicine
Sir Henry Hallett,330,"""for their discoveries relating to chemical transmission of nerve impulses""",2,Dale,1936,male,physiology or medicine
Otto,331,"""for their discoveries relating to chemical transmission of nerve impulses""",2,Loewi,1936,male,physiology or medicine
Hans,329,"""for his discovery of the organizer effect in embryonic development""",1,Spemann,1935,male,physiology or medicine
George Hoyt,326,"""for their discoveries concerning liver therapy in cases of anaemia""",3,Whipple,1934,male,physiology or medicine
George Richards,327,"""for their discoveries concerning liver therapy in cases of anaemia""",3,Minot,1934,male,physiology or medicine
William Parry,328,"""for their discoveries concerning liver therapy in cases of anaemia""",3,Murphy,1934,male,physiology or medicine
Thomas Hunt,325,"""for his discoveries concerning the role played by the chromosome in heredity""",1,Morgan,1933,male,physiology or medicine
Sir Charles Scott,323,"""for their discoveries regarding the functions of neurons""",2,Sherrington,1932,male,physiology or medicine
Edgar Douglas,324,"""for their discoveries regarding the functions of neurons""",2,Adrian,1932,male,physiology or medicine
Otto Heinrich,322,"""for his discovery of the nature and mode of action of the respiratory enzyme""",1,Warburg,1931,male,physiology or medicine
Karl,321,"""for his discovery of human blood groups""",1,Landsteiner,1930,male,physiology or medicine
Christiaan,319,"""for his discovery of the antineuritic vitamin""",2,Eijkman,1929,male,physiology or medicine
Sir Frederick Gowland,320,"""for his discovery of the growth-stimulating vitamins""",2,Hopkins,1929,male,physiology or medicine
Charles Jules Henri,318,"""for his work on typhus""",1,Nicolle,1928,male,physiology or medicine
Julius,317,"""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica""",1,Wagner-Jauregg,1927,male,physiology or medicine
Johannes Andreas Grib,316,"""for his discovery of the Spiroptera carcinoma""",1,Fibiger,1926,male,physiology or medicine
Willem,315,"""for his discovery of the mechanism of the electrocardiogram""",1,Einthoven,1924,male,physiology or medicine
Frederick Grant,313,"""for the discovery of insulin""",2,Banting,1923,male,physiology or medicine
John James Rickard,314,"""for the discovery of insulin""",2,Macleod,1923,male,physiology or medicine
Archibald Vivian,311,"""for his discovery relating to the production of heat in the muscle""",2,Hill,1922,male,physiology or medicine
Otto Fritz,312,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle""",2,Meyerhof,1922,male,physiology or medicine
Schack August Steenberg,310,"""for his discovery of the capillary motor regulating mechanism""",1,Krogh,1920,male,physiology or medicine
Jules,309,"""for his discoveries relating to immunity""",1,Bordet,1919,male,physiology or medicine
Robert,308,"""for his work on the physiology and pathology of the vestibular apparatus""",1,Bárány,1914,male,physiology or medicine
Charles Robert,307,"""in recognition of his work on anaphylaxis""",1,Richet,1913,male,physiology or medicine
Alexis,306,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",1,Carrel,1912,male,physiology or medicine
Allvar,305,"""for his work on the dioptrics of the eye""",1,Gullstrand,1911,male,physiology or medicine
Albrecht,304,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances""",1,Kossel,1910,male,physiology or medicine
Emil Theodor,303,"""for his work on the physiology, pathology and surgery of the thyroid gland""",1,Kocher,1909,male,physiology or medicine
Ilya Ilyich,301,"""in recognition of their work on immunity""",2,Mechnikov,1908,male,physiology or medicine
Paul,302,"""in recognition of their work on immunity""",2,Ehrlich,1908,male,physiology or medicine
Charles Louis Alphonse,300,"""in recognition of his work on the role played by protozoa in causing diseases""",1,Laveran,1907,male,physiology or medicine
Camillo,298,"""in recognition of their work on the structure of the nervous system""",2,Golgi,1906,male,physiology or medicine
Santiago,299,"""in recognition of their work on the structure of the nervous system""",2,Ramón y Cajal,1906,male,physiology or medicine
Robert,297,"""for his investigations and discoveries in relation to tuberculosis""",1,Koch,1905,male,physiology or medicine
Ivan Petrovich,296,"""in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged""",1,Pavlov,1904,male,physiology or medicine
Niels Ryberg,295,"""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science""",1,Finsen,1903,male,physiology or medicine
Ronald,294,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",1,Ross,1902,male,physiology or medicine
Emil Adolf,293,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",1,von Behring,1901,male,physiology or medicine
Angus,926,"""for his analysis of consumption, poverty, and welfare""",1,Deaton,2015,male,economics
Jean,915,"""for his analysis of market power and regulation""",1,Tirole,2014,male,economics
Eugene F.,894,"""for their empirical analysis of asset prices""",3,Fama,2013,male,economics
Lars Peter,895,"""for their empirical analysis of asset prices""",3,Hansen,2013,male,economics
Robert J.,896,"""for their empirical analysis of asset prices""",3,Shiller,2013,male,economics
Alvin E.,882,"""for the theory of stable allocations and the practice of market design""",2,Roth,2012,male,economics
Lloyd S.,883,"""for the theory of stable allocations and the practice of market design""",2,Shapley,2012,male,economics
Thomas J.,872,"""for their empirical research on cause and effect in the macroeconomy""",2,Sargent,2011,male,economics
Christopher A.,873,"""for their empirical research on cause and effect in the macroeconomy""",2,Sims,2011,male,economics
Peter A.,856,"""for their analysis of markets with search frictions""",3,Diamond,2010,male,economics
Dale T.,857,"""for their analysis of markets with search frictions""",3,Mortensen,2010,male,economics
Christopher A.,858,"""for their analysis of markets with search frictions""",3,Pissarides,2010,male,economics
Elinor,846,"""for her analysis of economic governance, especially the commons""",2,Ostrom,2009,female,economics
Oliver E.,847,"""for his analysis of economic governance, especially the boundaries of the firm""",2,Williamson,2009,male,economics
Paul,834,"""for his analysis of trade patterns and location of economic activity""",1,Krugman,2008,male,economics
Leonid,820,"""for having laid the foundations of mechanism design theory""",3,Hurwicz,2007,male,economics
Eric S.,821,"""for having laid the foundations of mechanism design theory""",3,Maskin,2007,male,economics
Roger B.,822,"""for having laid the foundations of mechanism design theory""",3,Myerson,2007,male,economics
Edmund S.,807,"""for his analysis of intertemporal tradeoffs in macroeconomic policy""",1,Phelps,2006,male,economics
Robert J.,799,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",2,Aumann,2005,male,economics
Thomas C.,800,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",2,Schelling,2005,male,economics
Finn E.,786,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",2,Kydland,2004,male,economics
Edward C.,787,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",2,Prescott,2004,male,economics
Robert F.,771,"""for methods of analyzing economic time series with time-varying volatility (ARCH)""",2,Engle III,2003,male,economics
Clive W.J.,772,"""for methods of analyzing economic time series with common trends (cointegration)""",2,Granger,2003,male,economics
Daniel,759,"""for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty""",2,Kahneman,2002,male,economics
Vernon L.,760,"""for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms""",2,Smith,2002,male,economics
George A.,744,"""for their analyses of markets with asymmetric information""",3,Akerlof,2001,male,economics
A. Michael,745,"""for their analyses of markets with asymmetric information""",3,Spence,2001,male,economics
Joseph E.,746,"""for their analyses of markets with asymmetric information""",3,Stiglitz,2001,male,economics
James J.,732,"""for his development of theory and methods for analyzing selective samples""",2,Heckman,2000,male,economics
Daniel L.,733,"""for his development of theory and methods for analyzing discrete choice""",2,McFadden,2000,male,economics
Robert A.,720,"""for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas""",1,Mundell,1999,male,economics
Amartya,719,"""for his contributions to welfare economics""",1,Sen,1998,male,economics
Robert C.,717,"""for a new method to determine the value of derivatives""",2,Merton,1997,male,economics
Myron S.,718,"""for a new method to determine the value of derivatives""",2,Scholes,1997,male,economics
James A.,715,"""for their fundamental contributions to the economic theory of incentives under asymmetric information""",2,Mirrlees,1996,male,economics
William,716,"""for their fundamental contributions to the economic theory of incentives under asymmetric information""",2,Vickrey,1996,male,economics
Robert E.,714,"""for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy""",1,Lucas Jr.,1995,male,economics
John C.,711,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",3,Harsanyi,1994,male,economics
John F.,712,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",3,Nash Jr.,1994,male,economics
Reinhard,713,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",3,Selten,1994,male,economics
Robert W.,709,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",2,Fogel,1993,male,economics
Douglass C.,710,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",2,North,1993,male,economics
Gary S.,708,"""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour""",1,Becker,1992,male,economics
Ronald H.,707,"""for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy""",1,Coase,1991,male,economics
Harry M.,704,"""for their pioneering work in the theory of financial economics""",3,Markowitz,1990,male,economics
Merton H.,705,"""for their pioneering work in the theory of financial economics""",3,Miller,1990,male,economics
William F.,706,"""for their pioneering work in the theory of financial economics""",3,Sharpe,1990,male,economics
Trygve,703,"""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures""",1,Haavelmo,1989,male,economics
Maurice,702,"""for his pioneering contributions to the theory of markets and efficient utilization of resources""",1,Allais,1988,male,economics
Robert M.,701,"""for his contributions to the theory of economic growth""",1,Solow,1987,male,economics
James M.,700,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making""",1,Buchanan Jr.,1986,male,economics
Franco,699,"""for his pioneering analyses of saving and of financial markets""",1,Modigliani,1985,male,economics
Richard,698,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis""",1,Stone,1984,male,economics
Gerard,697,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium""",1,Debreu,1983,male,economics
George J.,696,"""for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation""",1,Stigler,1982,male,economics
James,695,"""for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices""",1,Tobin,1981,male,economics
Lawrence R.,694,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies""",1,Klein,1980,male,economics
Theodore W.,692,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",2,Schultz,1979,male,economics
Sir Arthur,693,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",2,Lewis,1979,male,economics
Herbert A.,691,"""for his pioneering research into the decision-making process within economic organizations""",1,Simon,1978,male,economics
Bertil,689,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",2,Ohlin,1977,male,economics
James E.,690,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",2,Meade,1977,male,economics
Milton,688,"""for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy""",1,Friedman,1976,male,economics
Leonid Vitaliyevich,686,"""for their contributions to the theory of optimum allocation of resources""",2,Kantorovich,1975,male,economics
Tjalling C.,687,"""for their contributions to the theory of optimum allocation of resources""",2,Koopmans,1975,male,economics
Gunnar,684,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena""",2,Myrdal,1974,male,economics
Friedrich August,685,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena""",2,von Hayek,1974,male,economics
Wassily,683,"""for the development of the input-output method and for its application to important economic problems""",1,Leontief,1973,male,economics
John R.,681,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",2,Hicks,1972,male,economics
Kenneth J.,682,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",2,Arrow,1972,male,economics
Simon,680,"""for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development""",1,Kuznets,1971,male,economics
Paul A.,679,"""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science""",1,Samuelson,1970,male,economics
Ragnar,677,"""for having developed and applied dynamic models for the analysis of economic processes""",2,Frisch,1969,male,economics
Jan,678,"""for having developed and applied dynamic models for the analysis of economic processes""",2,Tinbergen,1969,male,economics
